struct_vol,struct_num,first_dep_col_ind,permitted_farthest_J,rank,independent_configs,latt_abc_var
16,8,9,J8,30,100.0,497.4780832239814
16,50,9,J8,26,100.0,501.8298697458317
3,1,8,J7,11,74.0,13.482818245898814
5,2,8,J7,19,99.5,17.34816019788127
7,7,8,J7,15,100.0,2.8844258296450067
7,8,8,J7,15,100.0,2.8844258296450067
3,2,7,J6,7,57.0,1.1470392757797667
4,5,7,J6,9,91.5,14.667722036739088
4,3,7,J6,8,82.0,12.169735992934504
5,3,7,J6,12,100.0,28.553418555178514
6,4,7,J6,13,100.0,47.71215159189078
7,4,7,J6,17,100.0,83.32054741420257
8,21,7,J6,13,100.0,0.6327656155140908
8,5,7,J6,18,100.0,121.87373126625262
9,5,7,J6,21,100.0,162.40437346849873
10,6,7,J6,22,100.0,221.49914490567767
11,6,7,J6,24,100.0,282.60521337743336
12,7,7,J6,25,100.0,345.2237049056035
13,7,7,J6,25,100.0,427.4504173908408
14,8,7,J6,25,100.0,511.20027582040854
15,8,7,J6,25,100.0,596.1701459032053
16,9,7,J6,25,100.0,701.3713850330574
4,2,6,J5,9,92.5,14.667722036739088
4,7,6,J5,7,84.0,11.354518260082815
4,8,6,J5,8,83.0,3.8962546900085893
4,6,6,J5,7,75.5,7.669348948912062
8,27,6,J5,13,100.0,0.6327656155140908
8,28,6,J5,8,99.5,0.0
2,0,5,J4,5,11.5,11.354518260082815
3,0,5,J4,8,57.0,45.41807304033126
4,0,5,J4,11,95.5,102.19066434074534
5,0,5,J4,14,98.5,181.67229216132503
6,0,5,J4,17,100.0,283.8629565020704
7,0,5,J4,19,100.0,408.7626573629814
8,0,5,J4,19,100.0,556.371394744058
9,0,5,J4,19,100.0,726.6891686453005
10,0,5,J4,19,100.0,919.715979066708
11,0,5,J4,19,100.0,1135.4518260082812
12,0,5,J4,19,100.0,1373.8967094700208
13,0,5,J4,19,100.0,1635.0506294519257
14,0,5,J4,19,100.0,1918.9135859539958
15,0,5,J4,19,100.0,2225.4855789762314
16,0,5,J4,19,100.0,2554.7666085186333
2,1,3,J2,4,8.0,1.9481273450042969
4,9,3,J2,4,37.5,0.0
1,0,2,J1,2,1.5,0.0
2,2,2,J1,3,4.5,0.0
